2100-041|0.0795|  116|2         |                                        
2100+041|0.0809|  223|3         |                                        
2100-123|0.0761|  113|3         |                                        
2100+123|0.0643|  196|3         |                                        
2100-208|0.2226|   72|2         |                         ; data corrupt not used
2100+208|0.0862|  282|3         |                                        
2100-298|0.2192|   64|2 !3c     |                         ; data corrupt not used
2100+298|0.0979|  362|2         |                                        
2100+398|0.0762|  133|brt,3     |Cygnus A     substracted                
2100+517|0.0670|  514|brt,3     |Cygnus A     substracted                
2100+690|0.0667|   83|brt,3     |Cassiopeia A substracted                
2130+000|0.0683|   77|2         |                                        
2130-082|0.0755|   87|2         |                                        
2130+082|0.0710|  335|3         |                                        
2130-166|0.0884|  245|RFI,3     |                                        
2130+166|0.0644|  332|2         |                                        
2130-253|0.0983|  119|3         |                                        
2130+253|0.0741| 1325|3         |                                        
2130+346|0.0652|  501|brt,2     |Cygnus A     substracted                
2130+453|0.0836|  288|brt,3     |Cygnus A     substracted                
2130+588|0.0900|  465|brt,2     |Cassiopeia A substracted                
2200-041|0.0734|  109|3         |                                        
2200+041|0.0846|  105|3         |                                        
2200-123|0.1177|  339|3         |                                        
2200+123|0.0660|  183|2         |                                        
2200-208|0.1009|  460|3         |                                        
2200+208|0.0562|  146|3         |                                        
2200-298|0.0817|   75|peel,2    |                                        
2200+298|0.0721|  319|3         |                                        
2200+398|0.0780|  916|3         |                                        
2200+517|0.0760|  130|brt,3     |Cassiopeia A substracted                
2200+639|0.0701|  297|brt,3     |Cassiopeia A substracted                
2200+726|0.0661|  356|brt,3     |Cassiopeia A substracted                
2200+815|0.0560|  375|3         |                                        
2230+000|0.0949|  151|3         |                                        
2230-082|0.0949|  177|2         |                                        
2230+082|0.0942|   87|3         |                                        
2230-166|0.0831|  759|2         |                                        
2230+166|0.0831|   99|3         |                                        
2230-253|0.0800|   82|peel,2    |                                        
2230+253|0.0636|  161|3         |                                        
2230+346|0.0915|  177|2         |                                        
2230+453|0.0713|  155|brt,2     |Cassiopeia A substracted                
2230+588|0.0913| 7337|brt,3     |Cassiopeia A substracted                
2300-041|0.1175|   70|2         |                                        
2300+041|0.0815|  433|3         |                                        
2300-123|0.0659|  131|peel,2    |                                        
2300+123|0.0952|  192|3         |                                        
2300-208|0.0846|   89|3         |                                        
2300+208|0.1001|  110|3         |                                        
2300-298|0.0656|  144|3         |                                        
2300+298|0.0791|   76|3         |                                        
2300+398|0.0791|  346|brt,3     |Cassiopeia A substracted                
2300+517|0.1149| 4340|brt,3     |Cassiopeia A substracted                
2300+690|0.0696|  205|brt,2     |Cassiopeia A substracted                
2330+000|0.0840|  316|3         |                                        
2330-082|0.0980|  176|3         |                                        
2330+082|0.0794|  389|3         |                                        
2330-166|0.0788|  299|3         |                                        
2330+166|0.0835|  135|3         |                                        
2330-253|0.0831|  125|3         |                                        
2330+253|0.0966|  144|2         |                                        
2330+346|0.0637|  123|3         |                                        
2330+453|0.0632|  122|brt,3     |Cassiopeia A substracted                
2330+588|0.6662| 3241|brt,3     |Cassiopeia A substracted                
